,Model,2019_04,2019_03,2019_02,2019_01,2018_12,2018_11,2018_10,2018_09,2018_08,2018_07,2018_06,2018_05,2018_04,2018_03,2018_02,2018_01,2017_12,2017_11,2017_10,2017_09,2017_08,2017_07,2017_06,2017_05,2017_04,2017_03,2017_02,2017_01,2016_12,2016_11,2016_10,2016_09,2016_08,2016_07,2016_06,2016_05,2016_04,2016_03,2016_02,2016_01,2015_12,2015_11,2015_10,2015_09,2015_08,2015_07,2015_06,2015_05,2015_04,2015_03,2015_02,2015_01,2014_12,2014_11,2014_10,2014_09,2014_08,2014_07,2014_06,2014_05,2014_04,2014_03,2014_02,2014_01,2013_12,2013_11,2013_10,2013_09,2013_08,2013_07,2013_06,2013_05,2013_04,2013_03,2013_02_YTD,2013_01,2012_12,2012_11,2012_10,2012_09,2012_08,2012_07,2012_06,2012_05,2012_04,2012_03,2012_02_YTD,2012_01,2011_12_error,2011_11,2011_10,2011_09,2011_08,2011_07,2011_06,2011_05,2011_04,2011_03,2011_02,2011_01
14.0,Mazda 6,2340,3396,1906,1619,2357,1984,1856,2123,2323,2213,3204,4437,2909,3734,2246,1552,1776,1651,2125,3036,3323,3482,2360,2708,2249,3794,3598,3300,3688,3046,2924,4052,4006,4341,4224,5027,3929,4094,3617,2572,4168,3089,3563,4528,5402,4841,5334,5580,4995,7568,5064,3766,4323,3891,3149,4263,5631,5049,4793,5461,3817,5730,3945,3172.0,4365.0,3641.0,3099.0,3168.0,4249,3447,3840.0,3944.0,2933.0,6102,4849,,1384,1204,1515,1403,1592,1289,1410,2294,3780,7855,10030,,,2176.0,3438.0,4163.0,2636.0,2543.0,1968.0,1639.0,2734.0,4135.0,2838.0,2258.0
15.0,BMW 6-Series,96,149,315,161,330,266,238,269,214,328,363,326,398,471,336,223,369,351,374,262,206,314,246,204,240,330,201,258,348,276,352,276,297,523,284,474,278,389,265,185,1461,398,369,265,258,311,238,351,313,2434,1237,511,624,648,740,450,468,384,322,401,483,3063,557,507.0,1078.0,729.0,921.0,643.0,760,477,1409.0,914.0,760.0,877,1194,,1037,919,770,609,453,843,642,725,513,759,938,,,549.0,414.0,338.0,207.0,560.0,312.0,279.0,266.0,66.0,106.0,83.0
16.0,Volvo 60-Series,1259,1501,1058,1400,302,834,1120,907,1199,1351,736,,1392,1156,1004,993,1338,1087,1392,1322,1400,1184,1785,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,BMW 7-Series,567,988,851,454,983,603,559,705,597,704,742,1032,546,823,615,362,1107,788,819,935,550,822,634,524,994,935,623,545,1313,1233,1133,1201,1230,1203,1408,1012,872,850,616,847,1266,1045,618,134,90,916,832,943,1507,732,572,637,1096,704,1680,480,529,544,1548,607,674,707,600,575.0,1119.0,617.0,623.0,1723.0,924,851,855.0,1011.0,871.0,1046,1292,,1422,939,634,464,339,1696,539,1169,516,1280,2100,,,1227.0,1103.0,869.0,776.0,655.0,542.0,1386.0,760.0,1027.0,1109.0,626.0
18.0,Porsche 718,612,239,163,263,237,422,317,329,388,531,565,531,604,489,448,415,301,522,399,434,626,331,431,403,534,337,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,BMW 8-Series,275,364,138,99,223,,,,,,,,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Toyota 86 / FR-S,268,320,231,256,295,293,335,325,310,300,368,,337,491,361,317,425,456,458,530,586,655,635,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Volvo 90-Series,333,346,367,514,664,599,586,808,809,899,1077,,763,1131,809,719,1148,1529,1178,1095,1203,1078,1101,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,Porsche 911,655,803,990,1101,789,1056,789,733,885,524,755,801,940,883,775,853,773,976,691,532,1016,587,686,751,940,652,552,814,711,699,444,465,749,807,852,992,1023,938,498,723,654,884,803,768,939,778,813,841,897,836,633,1052,776,925,974,726,1015,849,809,865,959,887,856,792.0,828.0,1368.0,748.0,609.0,769,794,818.0,895.0,891.0,990,1732,,519,765,590,509,628,684,861,878,1090,465,1539,,,395.0,441.0,504.0,470.0,480.0,596.0,612.0,645.0,609.0,405.0,436.0
23.0,Mercedes-Benz A-Class,804,890,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
