,Model,2019_04,2019_03,2019_02,2019_01,2018_12,2018_11,2018_10,2018_09,2018_08,2018_07,2018_06,2018_05,2018_04,2018_03,2018_02,2018_01,2017_12,2017_11,2017_10,2017_09,2017_08,2017_07,2017_06,2017_05,2017_04,2017_03,2017_02,2017_01,2016_12,2016_11,2016_10,2016_09,2016_08,2016_07,2016_06,2016_05,2016_04,2016_03,2016_02,2016_01,2015_12,2015_11,2015_10,2015_09,2015_08,2015_07,2015_06,2015_05,2015_04,2015_03,2015_02,2015_01,2014_12,2014_11,2014_10,2014_09,2014_08,2014_07,2014_06,2014_05,2014_04,2014_03,2014_02,2014_01,2013_12,2013_11,2013_10,2013_09,2013_08,2013_07,2013_06,2013_05,2013_04,2013_03,2013_02_YTD,2013_01,2012_12,2012_11,2012_10,2012_09,2012_08,2012_07,2012_06,2012_05,2012_04,2012_03,2012_02_YTD,2012_01,2011_12_error,2011_11,2011_10,2011_09,2011_08,2011_07,2011_06,2011_05,2011_04,2011_03,2011_02,2011_01
722,Acura MDX,3339,3982,3833,2968,5948,4422,3955,4643,6252,4392,3893,4098,3585,4019,3337,2968,6076,5341,5287,5368,4532,4727,4240,4307,4052,4141,3541,3274,6243,4622,5052,4930,5131,4902,3718,4208,4733,4088,4292,3576,6254,4092,4405,4313,4747,4977,4592,5421,4970,5503,4553,4381,6761,5210,5324,4864,6497,6283,4890,5997,5180,5793,4563,4241,6538,6091,5608,4539,6499,5551,3828,2781,2877,3207,5521,,5069,3368,3771,4692,5549,4288,5125,4841,3952,3755,6444,,,3308,3691,2925,3126,3438,3374,3824,3912,4113,3845,3127
723,Mercedes-Benz Metris,671,1111,601,267,978,803,836,890,786,643,618,682,0,618,530,416,984,1018,637,569,730,604,538,690,,464,380,398,-5151,439,558,565,551,247,555,410,449,1377,0,0,-515,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
724,Mitsubishi Mirage,2004,2880,1792,1570,1748,1522,1730,1709,2048,2374,2483,3101,2069,3106,1323,1103,1023,1208,1768,1583,1557,1560,1739,2342,2136,3324,2835,1311,1555,1432,1489,1756,1541,1280,1541,2098,3302,4113,1156,963,1262,1085,1197,1348,1569,1553,1669,3369,2407,2488,1863,1705,1135,1333,1374,1340,1666,1593,1451,1700,1331,1499,1116,1170,1388,1052,475,20,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
725,Toyota Mirai,202,176,94,77,232,194,119,159,116,137,103,102,76,83,155,213,296,249,249,184,70,82,129,162,106,118,110,83,116,105,103,69,371,52,40,40,41,41,30,26,15,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
726,Tesla Model 3,10050,10175,5750,6500,25250,18650,17750,22250,17800,14250,6062,1000,3875,3820,2485,1875,1060,345,145,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
727,Tesla Model S,825,2275,800,875,3250,2750,1350,3750,2500,1100,2800,,1250,2800,2800,2800,2400,2400,2400,2400,2400,2400,2400,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
728,Tesla Model X,1050,2175,1100,950,4100,3200,1225,3975,1400,1325,2200,,1025,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
729,Nissan Murano,3476,4237,3412,4080,8033,6552,5737,8257,9619,6549,8806,5881,3391,7751,6179,6792,9718,8393,5714,7002,4895,6314,5534,6409,5504,7317,5569,4363,7881,7589,10701,7536,7482,6271,5665,5978,6232,8657,7445,5516,7083,5574,5350,5166,5800,5459,5314,5715,4121,5547,4005,3773,4367,3840,4271,4164,5594,4640,3058,3610,2384,5296,3889,2188,4684,5720,3102,2879,3925,3787,3178,3152,2404,4870,6983,,3999,5129,3225,3685,4095,4363,4477,4550,3009,6203,8940,,,4875,4600,4481,5121,4414,3435,3384,3329,5682,5254,3578
730,Mazda MX-5 Miata,782,727,456,347,511,447,553,756,1169,844,833,1055,837,876,654,436,493,487,597,846,901,997,1046,1226,1319,1345,1108,929,733,387,505,752,823,881,889,1000,1086,1090,759,560,706,732,1085,940,1344,1130,440,449,384,532,511,338,378,224,288,414,379,399,412,530,465,751,293,212,276,337,377,400,578,663,630,672,612,573,662,,394,369,461,505,560,590,659,621,692,714,740,,,294,354,433,600,569,507,603,659,645,382,289
731,Hyundai Nexo,19,20,5,35,8,,,,,,,,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
732,Kia Niro,1839,1609,2031,1706,2006,1962,2164,2889,2698,2310,2720,2808,2340,2478,2072,1785,2397,2235,1935,2554,2677,2763,2188,2660,2939,2704,2143,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
733,Acura NSX,23,26,22,31,17,13,18,11,15,3,6,15,5,16,17,34,56,83,87,26,21,30,31,23,91,37,46,50,68,51,67,38,22,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
734,Nissan NV,1494,1805,1439,1263,2013,1321,1269,1394,1415,1242,1553,1702,1225,1606,1139,1023,1638,1422,1204,1432,1377,1338,1688,1769,1457,1863,1439,1234,1937,1193,1360,1395,1431,1510,1469,1465,1596,1791,1434,1292,1924,1105,1391,1437,1389,1526,1611,1447,1396,1485,1188,1059,1554,1141,1220,1061,1227,1230,7457,0,0,0,0,,1512,990,1006,945,1027,936,6173,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
735,Nissan NV200,1735,2077,1265,1313,1691,1215,1439,1477,1592,1414,1717,1691,1605,2032,1431,1324,1574,1459,1389,1338,1615,1625,1686,1724,1697,1897,1334,1264,1538,1363,1243,1284,1447,1480,1665,1411,1740,2416,1663,1273,1781,1193,1409,1400,1601,1493,1460,1631,1469,1409,1287,1184,1532,1131,1291,1040,1223,1338,5830,0,0,0,0,,793,621,639,475,514,496,1081,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
736,Lexus NX,4241,5633,4160,3982,8764,5622,4180,4544,5644,4653,4862,4975,4508,5859,4263,4205,7410,5404,4540,5041,5517,5406,4597,5009,4320,5619,3514,2964,7375,5120,4274,4729,5407,4689,4069,4031,3815,4533,3709,3133,5134,3284,3399,3113,4448,4337,3503,4014,3421,3633,2666,2812,2905,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
737,Honda Odyssey,7482,8811,6658,5828,10512,8123,8403,8878,9887,9269,9923,9861,8464,9873,7034,6100,9874,7823,7301,8310,8709,10134,11146,8999,6984,7727,6800,6500,10411,7978,7622,8954,9992,11228,11963,12212,13047,11224,8994,7221,11800,8356,8746,9924,13423,12851,11621,12835,11092,11142,8076,7870,10368,8639,8271,8769,12488,10906,10911,12915,11639,11008,8945,7879,12107,9401,8968,7714,11064,13261,14207,14200,11832,10923,15310,,9126,9318,9712,11365,12750,11953,11275,12348,10476,11193,16464,,,9143,10415,8818,7903,6332,7234,9428,9954,10586,8744,7022
738,Kia Optima,8411,9603,7212,5853,7809,6669,7280,10976,11074,10919,8623,10367,8276,8010,6402,5198,7081,8154,7554,9982,7072,7933,11252,10789,10731,10204,8892,7849,12572,12330,9974,9010,9470,9780,9180,10895,11224,11725,9630,8413,13682,13048,14381,11719,13980,12638,13488,16349,13666,15485,11584,9394,11827,12707,11840,10908,15337,13588,13866,16843,14589,16310,11226,9979,9474,10871,11492,11647,15199,13752,14599,15368,14678,14366,24447,,12008,12715,12948,14304,13949,13317,13393,13364,11021,15008,20372,,,9533,8616,6191,6157,6772,7099,7431,6533,6891,4844,3819
739,Subaru Outback,16381,18539,12328,10941,15851,13437,11574,12895,18006,16113,16071,16702,14083,16822,14021,13279,18248,14361,15786,16330,20327,17581,14019,15193,14469,15909,13477,13186,20695,17769,18008,16978,17358,14704,13417,12404,14294,14122,11952,11197,16067,13079,14729,15126,11113,10863,10912,12384,12534,12504,11632,11351,14772,14128,12624,11315,11428,11768,11525,11641,10663,11729,8967,8230,11002,8852,8122,8143,10163,10456,12210,12270,8730,10453,17648,,12072,10124,10153,10583,11285,9282,9254,9192,8548,10886,16174,,13430,7293,8891,7607,7572,8373,7914,8431,9465,10498,7951,6980
740,Mitsubishi Outlander,2408,7923,3471,2346,2647,2043,2152,2132,2164,3008,3673,4468,2266,4789,5290,3320,3117,3740,2397,2895,2730,2530,2313,3382,2717,4235,3665,1688,2465,2220,2429,1925,2109,1952,1991,2936,2729,2156,2121,1543,1936,1717,2040,1949,2188,1769,1068,1341,1254,1615,1175,1003,1096,1014,976,881,1134,951,963,1292,1148,1466,1206,941,1289,1399,1023,988,1233,1268,1085,539,510,917,2036,,638,585,618,603,607,632,687,708,619,705,1348,,,695,753,842,804,951,822,896,877,981,629,594
741,Mitsubishi Outlander PHEV,163,341,157,133,431,376,309,378,366,350,390,297,273,373,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
742,Mitsubishi Outlander Sport,1468,5309,4049,3099,2563,2578,2605,2572,2980,3440,3380,3319,0,4674,5377,3379,3678,2931,2537,3140,2898,2910,2705,2809,2688,2676,2198,1990,2500,2355,2694,2570,2572,3545,3459,3060,2614,2874,2591,2233,3356,2955,3094,3140,3286,3242,3948,3384,2674,3226,2394,2267,2755,2679,2468,2351,2869,2610,2433,2820,2619,3264,2348,1838,2358,2059,2009,1832,2171,2075,2634,2266,2111,2442,2994,,1770,1520,1675,2253,1361,1462,1461,1266,1187,1643,2493,,,1133,1286,1512,1564,1571,1293,1392,1402,1401,1290,1065
743,Chrysler Pacifica,6984,8457,7854,6963,8936,8514,9277,10629,9167,8775,9114,11151,10180,13086,11482,8011,11144,13195,7593,10835,7621,8288,12399,11720,10427,9340,9042,6670,10283,8753,7758,9371,7459,8553,7207,2495,487,0,-39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
744,Porsche Panamera,992,703,508,487,332,800,541,651,560,585,735,896,1098,704,602,610,455,729,644,835,557,510,518,768,1098,554,28,35,36,731,295,356,445,342,506,358,371,334,293,336,257,491,353,557,466,370,437,358,385,433,442,437,320,492,533,450,429,391,677,465,517,442,478,546,500,472,501,475,454,487,248,399,501,411,973,,483,680,467,606,646,627,619,751,868,653,1214,,,608,611,514,529,619,609,616,597,654,442,604
745,Volkswagen Passat,1607,2762,2097,2899,3116,2156,2602,3295,3873,4003,3793,4757,4044,4292,3036,2434,3015,3140,3937,4636,5714,5143,5267,5455,6148,6266,6114,5887,7241,6441,6234,6335,7389,6549,5992,7129,5629,6097,4380,3586,3596,2759,8116,7228,7409,6904,6984,8180,6623,7794,6309,6305,8257,6966,6513,7280,9190,8668,7222,8955,9315,11050,6997,6236,9254,8876,7258,7900,10194,10051,10874,10267,9069,9521,16388,,14462,10544,8355,9500,10090,9007,10252,10178,10096,10032,14507,,,6018,5040,3176,314,1183,2,1,0,38,71,108
746,Honda Passport,2907,2840,1848,126,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
747,Nissan Pathfinder,4713,7226,4860,5268,6799,5404,5195,6258,4889,5303,6736,6119,2741,6680,6140,5286,6053,6585,6708,7460,3726,5066,6578,6457,5712,10442,8997,7281,9368,6801,6421,8028,5794,5530,5737,5981,5633,8713,7244,6451,8366,5094,5584,6203,7054,7802,7168,7421,5551,8594,7066,6138,6789,6231,5542,5325,7896,7364,6361,7929,6105,7894,6367,5308,6675,6801,5793,5537,8859,8428,8360,9340,6473,9071,13295,,7939,8097,3043,3205,2472,2515,2706,2377,2057,3273,4937,,,2317,2072,2311,2093,2237,2111,1793,1626,2727,2392,1593
748,Jeep Patriot,2,1,3,6,9,4,9,9,23,18,47,63,75,100,116,148,240,384,1235,1944,2658,3425,4752,4978,4939,5968,5512,4700,7809,8568,9510,12324,11789,7809,12050,12864,10456,9837,10326,8584,12306,9933,9369,9338,10690,10003,9691,10782,9470,11849,10280,7563,9434,7546,6524,9117,9120,7793,6873,8242,8339,8431,6466,5577,6158,5148,5581,6053,7170,7572,6690,6636,5792,7420,11577,,4566,4174,4209,5428,5056,5870,5590,5891,5261,6879,9086,,,4013,3591,3802,5090,4598,5840,5470,4636,5602,4153,3452
749,Ram Pickup,49106,45187,39950,34889,60155,52056,49186,51856,49912,40276,43542,,39252,41307,33299,29358,44907,36714,44201,47142,37608,39708,43073,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
750,Honda Pilot,11399,13411,10990,8556,15698,10537,13479,15464,15332,13026,12782,13573,11891,14158,12056,11619,18602,14189,10285,10295,9568,9985,9409,9976,9746,9945,8099,7180,12072,9024,8677,9206,9269,10350,10830,11248,11370,10593,9572,8561,13344,10975,12913,10238,10202,9584,9093,11760,11222,11937,12629,12315,11479,9228,7903,7824,10810,10933,9830,10054,8765,8894,6913,6224,8971,8150,9202,9659,14877,12932,12085,11963,10613,11207,17019,,11366,9366,8828,10045,10610,9757,9959,10749,8827,10097,15244,,11641,10487,12466,10306,9825,9954,9035,8560,9488,9608,8224,6703
751,Toyota Prius Family,4799,5410,3661,2987,6351,6008,6306,7378,8111,7265,7844,,7420,8222,7070,6943,9482,8149,7710,9286,9551,9384,8735,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,-86027,25168,60859,,,,-104251,104251,0,0,0,0,-55256,12477,42779,0,0
752,Ram ProMaster,3805,4928,4632,3759,5857,4847,4305,3623,3830,3776,6996,4092,2817,2451,2235,1771,3352,2555,2638,3606,4589,3035,3727,4233,2701,4048,2648,3351,4694,4702,4500,2783,3234,4239,2113,2946,2835,3302,2750,2342,4154,2084,2349,2413,2587,2148,2223,2541,1764,2342,1627,1580,3036,3290,1723,1408,1658,1217,5707,0,0,0,0,,1872,828,570,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
753,Ram ProMaster City,900,1707,960,1001,2183,1067,1051,968,1066,1013,1191,1011,1005,1120,1203,910,1617,1121,992,938,1125,1347,1845,1961,1305,1317,1091,925,1347,924,1052,762,990,1636,997,1833,1880,1814,1581,1156,3038,1721,925,935,752,604,444,914,997,504,126,93,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
754,Audi Q3,17,85,120,193,620,700,878,1155,1357,1482,1917,1827,2018,1938,1611,1325,2367,1592,2021,1818,1861,1888,1741,1733,1510,1818,1103,1181,2047,1613,1944,1919,2238,1819,1719,1719,1635,1505,988,902,1501,1109,887,1130,1189,1166,867,1128,1065,1268,1046,873,901,735,683,1092,243,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
755,Audi Q5,4350,6529,4359,4340,8143,5889,6252,7419,6812,6512,4728,4918,5275,5473,4469,4088,7531,5467,5416,4596,4767,4116,4498,4909,5028,4382,3294,3636,6396,4187,3772,3957,4419,4833,4419,4736,3991,3728,2421,2691,6057,4520,4863,5149,5051,4700,4270,4280,3762,3934,2493,2927,4551,4184,3571,3240,3757,3189,4025,3836,3293,3357,2643,2774,4794,3582,3380,3268,3845,3176,3493,3380,3241,3099,5097,,3626,2724,2424,2256,2007,2090,2780,2332,2462,2225,3745,,,2390,2610,2235,2301,1900,1730,2222,1977,2083,1539,1584
756,Infiniti Q50,2174,3785,2230,2249,3690,2819,2074,2075,2551,2397,2631,2945,1880,5085,3904,2712,5583,4289,2791,3336,2541,2596,3224,3370,2559,3800,3444,3206,5794,3361,3689,4359,3745,2805,2349,2367,3670,5590,3364,2914,4678,3782,3811,3557,3839,3807,3470,3423,2991,3901,3649,2966,3855,33044,0,0,0,0,0,0,0,0,0,,4568,13248,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
757,Infiniti Q60,425,571,327,406,662,590,809,835,674,755,591,868,650,1136,855,0,0,0,0,0,0,0,0,972,744,1829,810,732,1018,814,725,497,169,62,79,103,94,105,172,132,290,206,273,258,311,319,366,367,379,368,346,466,658,7082,0,0,0,0,0,0,0,0,0,,462,9344,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
758,Audi Q7,2752,3091,1965,2061,4030,2971,3146,2903,3682,2922,3204,3217,3083,3061,2321,2877,4838,3292,3438,3538,3174,3334,3114,3048,3022,2660,2477,2411,3275,2605,2798,2475,2347,2322,2613,2663,2472,3004,1653,2336,1189,1279,2106,1941,2016,1939,1630,1823,1620,1560,1012,880,1928,1746,1738,1365,1859,1446,1429,1455,1462,1592,1229,1268,2279,1524,1403,1386,1478,1328,1227,1269,1183,1092,1809,,1493,1161,1012,1051,951,891,688,919,887,716,1239,,,605,710,540,720,790,842,845,790,739,742,756
759,Infiniti Q70,345,458,269,235,329,372,302,374,306,279,364,390,272,655,450,386,406,380,378,550,400,375,419,459,443,1072,414,476,580,346,451,402,439,507,522,515,547,577,494,492,786,677,682,622,626,572,613,691,763,1083,707,627,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
760,Audi Q8,1280,1469,900,807,925,943,161,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
761,Nissan Quest,0,,,,,,,1,,,0,0,0,,,,,,,6,,,502,384,165,620,1372,1878,791,117,152,209,327,712,836,1122,1099,1763,2566,1421,1703,953,753,656,658,895,1093,1154,864,905,676,708,685,483,370,395,744,786,900,1162,989,1559,1025,735,868,768,812,996,1426,1055,1078,1314,1103,1345,2109,,1200,1673,888,1190,1213,1368,1997,1802,1958,2596,2390,,,1132,641,852,1182,1426,984,873,999,1442,832,62
762,Infiniti QX30,232,548,574,455,647,416,399,560,662,603,656,672,671,1227,775,813,830,611,671,1053,806,729,726,927,1208,2960,2414,1158,740,473,723,249,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
763,Infiniti QX50,1513,1639,1122,822,3329,3009,3160,2767,2449,1609,1710,1859,1413,1913,1120,1051,1785,1622,1307,1628,1370,1190,1210,1230,1197,1724,1388,1206,2026,1442,1106,1215,1200,1360,1689,1632,1401,1512,1396,994,1453,908,989,263,241,182,417,248,185,217,177,188,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
764,Infiniti QX60,2773,4525,4117,4188,7032,5151,3392,3829,2870,2920,3382,3178,3052,5115,3880,3029,4098,3759,3227,3879,3697,3505,3358,3449,2804,3821,2658,2189,4928,3196,2929,3126,3268,3701,4380,4274,3311,3905,2730,2372,4987,3736,3669,3845,3995,3760,3003,3141,2829,3243,2985,2577,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
765,Infiniti QX80,1029,1878,1968,1943,2372,1721,1737,2086,1218,1131,1299,1124,920,2080,1689,1830,2516,1280,862,1215,1028,1060,1805,1424,1336,1983,1623,1749,2026,1738,1214,1202,1261,1267,1545,1424,1041,1403,1487,1164,2171,1737,1206,1044,1086,1076,996,1058,1025,1416,1583,1248,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
766,Audi R8,30,52,55,42,79,91,75,109,106,76,61,104,138,53,11,24,56,39,35,41,47,73,75,105,102,69,65,65,82,63,61,84,96,88,72,67,96,7,9,11,15,10,17,14,35,41,51,73,69,69,52,49,64,51,40,55,50,53,65,52,80,74,70,81,70,78,65,53,76,74,75,84,71,68,99,,51,50,47,50,46,55,78,90,92,90,153,,,84,69,97,80,82,108,99,114,106,94,79
767,Land Rover Range Rover,1577,1798,1539,1651,2231,1594,1642,1503,1534,1088,1347,1452,1650,2503,1662,824,1075,1106,1084,1178,1409,1414,1382,1272,1437,1991,1688,1833,2165,1242,1223,1006,1236,1164,1125,1044,1145,1792,1538,1475,1835,1598,1803,1361,1058,1000,1273,1516,1542,1996,1358,1481,1482,1021,1233,743,1113,1273,850,925,1306,794,869,1221,1340,1292,1184,693,972,1420,902,954,674,809,1981,,1034,352,403,564,658,672,734,715,562,936,1213,,,711,795,771,668,798,935,803,763,1102,736,709
768,Land Rover Range Rover Evoque,867,698,708,646,1594,1329,775,634,688,635,616,573,478,934,500,1161,1255,910,547,755,1001,934,925,858,1030,1818,1030,916,1273,890,874,965,1130,1036,949,813,528,862,823,933,1370,1056,1265,1319,1430,1497,801,970,1081,1284,1107,1403,1426,1037,991,771,1051,888,1037,1196,867,1370,927,879,1186,1091,959,706,1070,953,790,751,832,1157,1910,,1117,904,645,559,700,621,663,706,806,785,1395,,,669,,,,,,,,,,
769,Land Rover Range Rover Sport,1986,2317,2148,2004,2688,2259,2014,1878,1914,1634,1955,2098,1915,3330,1585,1012,1452,1282,1034,1280,1473,1447,1594,1813,1785,2251,1824,1918,2802,1885,1580,1532,1667,1772,1626,1563,1633,2507,1684,1361,2246,1776,1906,1633,1387,1338,1516,1674,1758,2646,1827,1752,2036,1152,1076,843,1370,1614,1481,1496,2006,1747,1464,1612,2305,1421,1266,1191,1846,752,887,1105,1305,1386,2512,,2003,1634,1391,1514,1530,1212,1235,1197,1199,1356,2220,,,1522,1430,1232,1199,1160,1233,1213,1327,1374,984,838
770,Land Rover Range Rover Velar,1244,2162,1434,1353,1555,1403,1318,1309,1386,1254,1363,1344,1035,1987,1561,1522,1694,1475,1327,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
771,Toyota RAV4,34139,33166,26149,24505,38669,35350,34004,37440,42222,41093,37722,38202,31007,34937,29867,26655,32542,28736,34086,42395,43265,41804,34120,38356,31757,32027,26351,22155,37229,28116,26429,29438,33171,31871,27365,32261,30152,29045,25523,21554,31866,27368,28256,27104,30534,26709,24843,28808,22914,25243,21943,19824,22997,21108,21524,22724,35614,26779,21589,23465,18834,19733,16451,16880,20970,19447,17590,15928,23502,19538,20540,20780,18541,16474,24939,,14351,12423,10936,13796,15685,15248,15129,19248,15196,17369,22496,,14107,11330,10680,7649,6502,8814,9105,8804,15406,16082,12562,11196
772,Lexus RC,353,422,279,262,341,213,211,258,327,259,328,434,369,271,186,161,686,826,828,737,665,522,499,517,522,619,495,447,1042,881,1081,827,1065,977,787,823,813,1194,920,755,1711,1282,1333,1159,1337,1232,1129,1343,1226,1201,984,847,1042,880,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
