,Model,2019_04,2019_03,2019_02,2019_01,2018_12,2018_11,2018_10,2018_09,2018_08,2018_07,2018_06,2018_05,2018_04,2018_03,2018_02,2018_01,2017_12,2017_11,2017_10,2017_09,2017_08,2017_07,2017_06,2017_05,2017_04,2017_03,2017_02,2017_01,2016_12,2016_11,2016_10,2016_09,2016_08,2016_07,2016_06,2016_05,2016_04,2016_03,2016_02,2016_01,2015_12,2015_11,2015_10,2015_09,2015_08,2015_07,2015_06,2015_05,2015_04,2015_03,2015_02,2015_01,2014_12,2014_11,2014_10,2014_09,2014_08,2014_07,2014_06,2014_05,2014_04,2014_03,2014_02,2014_01,2013_12,2013_11,2013_10,2013_09,2013_08,2013_07,2013_06,2013_05,2013_04,2013_03,2013_02_YTD,2013_01,2012_12,2012_11,2012_10,2012_09,2012_08,2012_07,2012_06,2012_05,2012_04,2012_03,2012_02_YTD,2012_01,2011_12_error,2011_11,2011_10,2011_09,2011_08,2011_07,2011_06,2011_05,2011_04,2011_03,2011_02,2011_01
773,Acura RDX,4926,5835,4965,4172,6838,5951,6193,5699,5793,5784,7292,4704,4201,4398,3766,2961,4808,3775,3532,3693,4679,5539,5327,5149,3793,3769,4029,3202,5945,3750,3944,3919,4207,4320,3593,4566,5905,5310,3798,3104,4942,3691,3891,3848,4364,4577,5056,5343,3972,3963,3862,3517,5156,3436,3178,3230,3984,3532,3485,4299,4344,4580,2911,2730,4215,3663,3333,3022,4381,3936,4023,4930,4088,3875,5284,,4024,3036,2659,2938,2926,2664,3090,3301,1984,1007,1891,,,1326,1632,1336,1139,1100,1068,1042,1343,1297,1344,993
774,Jeep Renegade,5740,7449,5909,4860,6666,7139,7683,8099,8922,8114,8533,9512,7735,9771,8249,6639,7542,7795,7888,9350,8974,8858,9180,9883,8619,8065,7915,9365,12045,10067,7242,7164,8181,9670,9688,10868,9730,8832,6952,6167,8653,7719,7979,8652,7941,5489,4858,4416,4214,943,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
775,Honda Ridgeline,2654,2804,2186,1962,2867,2420,2501,2536,2792,2488,2630,2894,2459,2690,2209,2106,2854,2610,2709,2784,2610,2586,2730,2956,3186,3778,3265,2681,4085,3464,3371,3318,3437,3518,2472,0,1,0,-1,2,2,3,0,2,4,6,7,26,43,77,136,214,481,535,802,978,1347,1340,1309,1425,1328,1538,1143,1163,1563,1353,1239,1165,1738,1645,1572,1626,1557,1712,2553,,1553,1290,9996,-7940,919,981,1185,1199,1055,1215,2615,,,935,880,700,214,377,587,672,952,1211,908,855
776,Kia Rio,2082,2414,1822,1608,1608,1671,2405,2009,2367,1844,1901,2181,1964,2147,1539,1339,1618,1533,1657,2037,1643,1587,963,1187,1463,1246,840,986,1269,1440,1826,2141,3325,3331,5238,2241,2523,2475,1461,1430,997,898,1571,1480,1734,2227,2420,3615,2802,2483,1943,1572,1924,2088,2534,2240,3390,3791,3257,3929,3214,3571,2833,3162,2156,2474,2874,2695,3862,3021,4169,5142,4531,4009,5809,,2343,2494,2623,3171,3602,3646,3668,4019,4006,4509,6194,,,2159,2005,190,658,1011,1954,2519,2575,2070,1852,963
777,Acura RLX,151,135,127,119,216,159,139,164,183,148,125,163,171,178,151,134,186,129,99,94,110,64,74,82,106,110,103,80,192,140,93,102,118,106,113,127,156,130,103,98,159,120,142,174,187,213,224,239,194,194,173,176,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
778,Nissan Rogue,24159,35802,31899,26113,42523,31860,27748,34842,33400,26535,37004,38413,23331,42151,38119,36184,40172,36080,30286,38969,29844,32425,34349,32533,27386,39512,33149,28760,40477,26629,21179,26459,32979,33298,29246,27428,23173,27713,21561,19762,26479,22565,24939,25064,27665,25081,23243,25901,21767,27418,21419,15649,14879,15067,14685,17229,21419,16618,15066,18722,15066,19420,17197,13831,14676,10487,12919,11353,17273,16992,15518,17333,11904,15381,18915,,11488,12662,8436,12106,12626,13193,10999,11977,8563,16972,23327,,12286,10845,10034,10740,11467,11260,7493,6962,8432,14174,11427,9423
779,Lexus RX,7522,10967,7054,5508,13222,10248,8608,8857,10875,9780,8854,9697,7705,9814,7238,6738,13951,10102,8374,9120,10391,9632,8408,8849,7839,9445,6676,5520,14882,10269,8044,8605,9701,8522,8045,8804,8767,9648,7192,6956,11899,10771,8018,7759,9620,8264,7233,8000,6810,9177,6490,6569,13625,9592,8057,7453,11841,9658,8426,9476,8130,9943,5682,5607,13169,9493,7979,7601,11423,8437,8647,8714,7053,9072,12332,,12534,8871,6928,7046,8628,7357,8641,10647,6842,7057,10830,,,7580,6691,5003,6504,5471,5141,5847,7802,8600,6567,5881
780,Mercedes-Benz S-Class,958,1204,1061,886,1486,1672,1486,684,595,630,1156,1169,1535,1627,1369,1569,2184,1803,1228,1053,567,1470,1169,1275,1491,1434,1002,1212,1494,1475,2420,1440,1698,1783,1487,1510,1329,1332,1558,1277,2163,1856,1921,1956,2045,1415,1593,1922,1969,2109,1421,1566,2832,2863,2666,1909,1855,1920,1780,2173,1909,2299,1789,1281,1857,1907,1914,387,450,577,841,1190,1103,1216,1861,,1110,1374,1096,925,927,852,981,1022,948,981,1578,,,1381,927,1447,981,887,1169,872,1081,981,659,800
781,Hyundai Santa Fe,10746,10929,9922,7832,11347,8994,7728,10162,11347,8275,10526,10707,9400,11401,9474,7677,13146,11346,13024,11420,11474,12749,12586,9844,9480,11446,8767,7889,10862,10786,11311,11350,15176,14328,18345,14732,7150,6546,5532,5139,9518,9156,11060,10752,11255,11655,10446,7832,10054,9895,8762,7749,10395,9787,8817,8945,9302,8655,8930,10638,8997,9726,6993,6721,8249,9657,8194,6639,8102,6845,7656,7116,6940,7116,12330,,7279,6754,6022,7378,4524,4619,6703,6884,6318,5853,8682,,,6129,5199,6213,8828,8119,7987,6671,5771,5701,4276,4415
782,Kia Sedona,1067,1367,1144,1348,1126,936,1010,1050,1851,1567,2587,2525,1485,1514,1235,1042,1329,1289,1277,1569,1613,1710,2030,3561,3019,2769,2111,1538,2028,2515,2366,3051,5147,5037,5823,5170,2896,4241,3988,2002,2316,2243,2332,3039,2545,3672,5434,4110,3394,3638,2362,1670,2997,3538,2376,613,692,775,673,739,625,641,456,442,501,522,676,657,1093,1068,1114,884,9,54,501,,711,1203,1144,1301,1360,1181,1829,1916,1867,2054,2946,,,1406,1541,2393,3011,2825,2086,2453,2201,1797,1403,1066
