,Model,april_2019,april_2018_x,march_2019,march_2018_x,february_2019,february_2018_x,january_2019,january_2018_x,december_2018,december_2017,november_2018,november_2017,october_2018,october_2017,september_2018,september_2017,august_2018,august_2017,july_2018,july_2017,june_2018,june_2017,may_2018,may_2017,april_2018_y,april_2017,march_2018_y,march_2017,february_2018_y,february_2017,january_2018_y,january_2017,Jan. 2017 YTD,Jan. 2016 YTD_x,2016,2015_x,Nov. 2016 YTD,Nov. 2015 YTD,Oct. 2016 YTD,Oct. 2015 YTD,Sept. 2016 YTD,Sept. 2015 YTD,Aug. 2016 YTD,Aug. 2015 YTD,July 2016 YTD,July 2015 YTD,June 2016 YTD,June 2015 YTD,May 2016 YTD,May 2015 YTD,April 2016 YTD,April 2015 YTD,March 2016 YTD_x,March 2015 YTD_x,Feb. 2016 YTD,Feb. 2015 YTD_x,Jan. 2016 YTD_y,Jan. 2015 YTD_x,2015_y,2014,March 2016 YTD_y,March 2015 YTD_y,Feb. 2015 YTD_y,Feb. 2014 YTD,Jan. 2015 YTD_y,Jan. 2014 YTD,Dec. 2014 YTD,Dec. 2013 YTD,November 2014 YTD,November 2013 YTD_x,October 2014 YTD,October 2013 YTD_x,September 2014 YTD,September 2013 YTD,August 2014 YTD,August 2013 YTD_x,July 2014 YTD,July 2013 YTD_x,June 2014 YTD,June 2013 YTD_x,May 2014 YTD,May 2013 YTD_x,April 2014 YTD,April 2013 YTD_x,March 2014 YTD,March 2013 YTD_x,February 2014 YTD,February 2013 YTD,January 2014,January 2013_x,2013,2012,November 2013 YTD_y,November 2012 YTD_x,October 2013 YTD_y,October 2012 YTD_x,September 2013 YTD,% Change_x,August 2013 YTD_y,% Change_y,July 2013 YTD_y,% Change_x,June 2013 YTD_y,% Change_y,May 2013 YTD_y,% Change_x,April 2013 YTD_y,% Change_y,March 2013 YTD_y,% Change_x,2 Months Of 2013,2 Months % Change,January 2013_y,January 2012_x,November 2012 YTD_y,November 2011 YTD,October 2012 YTD_y,October 2011 YTD,September 2012 YTD,September 2011 YTD,August 2012 YTD,August 2011 YTD,July 2012 YTD,July 2011 YTD,June 2012 YTD,June 2011 YTD,May 2012,May 2011,April 2012 YTD,April 2011 YTD,March 2012 YTD,March 2011 YTD,February 2012 YTD,February 2011 YTD,January 2012_y,January 2011,December 2011,% Change_y,November 2011,% Change,October 2011,October 2010
10,BMW 5-Series,2857,3056,3690,4397,2976,3185,3679,2456,4756,4743,4271,4002,3729,3396,3470,3718,3439,3587,3104,3713,4311,4068,3763,3677,3056,3113,4397,3161,3185,2731,2456,749,749,3795,32408,44162,30293,41177,29167,36531,27705,33838,26184,29779,23578,25767,20275,23581,17428,20616,14164,16359,9710,12065,6553,6965,3795,3359,44162,52704,9710,12065,6965,7087,110,187,52704,56863,47187,48761,44082,43701,39168,38681,37761,35107,33293,30748,27617,25891,19677,21407,14925,17373,10952,12139,7087,6833,3269,2585,56863,56798,48761,48413,43701,42556,38681.0,+ 0.9%,35107.0,– 0.1%,30748.0,– 8.1%,25891.0,– 6.7%,21407.0,– 4.3%,17373.0,+ 6.7%,12139.0,– 4.5%,6833.0,– 5.9%,2585.0,3216,48413,46604,42556,43040,38328,37996,35139,33899,33451,29605,27751,25287,22377,20922,16275,16721,12709,13053,7258,8562,3216,4350,,,,,,
11,Fiat 500,273,335,310,439,207,416,261,454,418,667,707,782,528,801,529,1016,563,937,363,1026,354,995,264,1240,335,1201,439,1671,416,1131,454,1218,1218,981,15437,23980,14026,22243,12879,21269,11603,20089,10100,17982,8857,15880,7932,15390,6819,13107,5266,10493,3778,7995,2288,4719,1207,2386,25084,33708,3778,7995,4719,5157,148,483,33708,35834,31406,33510,29422,31372,26616,28994,23879,26868,20550,23892,18179,21071,14851,17562,11514,13511,8473,9612,5157,5805,2493,2503,35834,43772,33510,40065,31372,36462,28994.0,– 11.4%,26868.0,– 5.9%,23892.0,– 2.1%,21071.0,+ 1.8%,17562.0,+ 5.1%,13511.0,+ 6.4%,9612.0,+ 8.6%,5805.0,+ 13.0%,2503.0,1911,40065,17444,36462,15826,32742,13861,28566,11088,24416,7982,20706,4944,16702,3141,12699,1382,8850,500,5138,—–,1911,—–,,,,,,
12,Fiat 500L,72,168,61,173,51,118,56,104,39,111,47,127,96,159,84,209,136,141,107,171,157,184,184,163,168,115,173,106,118,72,104,106,106,357,3118,7585,3016,7275,2920,7044,2801,6754,2658,6334,2527,6020,2338,6076,2064,5546,1730,4301,1267,3043,734,1825,369,869,7863,12413,1267,3043,1825,1530,100,113,12413,7402,10931,5981,9804,5044,8885,3748,8262,2717,8229,1503,6793,541,5643,—,4209,—,2952,—,1530,—,729,—,7402,—,5981,—,5044,—,3748.0,—,2717.0,—,1503.0,—,541.0,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fiat 500X,257,564,262,607,219,484,274,488,336,673,358,556,308,561,286,638,332,660,378,597,514,553,568,703,564,758,607,726,484,640,488,600,600,1041,11712,11357,10869,7785,10047,6164,9264,4170,8379,2279,7481,1218,7464,332,6308,8,5058,—,3964,—,2565,—,1018,—,9463,—,3964,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mazda 6,2340,2909,3396,3734,1906,2246,1619,1552,2357,1776,1984,1651,1856,2125,2123,3036,2323,3323,2213,3482,3204,2360,4437,2708,2909,2249,3734,3794,2246,3598,1552,3300,3300,2572,45520,57898,41832,53730,38786,50641,35862,47078,31810,42550,27804,37148,23463,32307,19239,26973,14212,21393,10283,16398,6189,8830,2572,3766,57897,53224,10283,16398,8830,7117,135,108,53224,43637,48901,39272,45010,35631,41861,32532,37598,29364,31967,25115,26918,21668,22125,17828,16664,13884,12847,10951,7117,4849,3172,2147,43638,33756,39273,32372,35632,31168,32532.0,+ 9.7%,29364.0,+ 3.9%,25115.0,– 5.8%,21668.0,– 14.6%,17828.0,– 25.6%,13884.0,– 35.9%,10951.0,– 38.8%,4849.0,– 51.7%,2147.0,4929,32372,30528,31168,28352,29653,24914,28250,20751,26658,18115,25369,15572,23959,13604,21665,11965,17885,9231,10030,5096,4929,2258,,,,,,
15,BMW 6-Series,96,398,149,471,315,336,161,223,330,369,266,351,238,374,269,262,214,206,328,314,363,246,326,204,398,240,471,330,336,201,223,258,258,185,3947,8146,3599,6685,3323,6287,2971,5918,2695,5653,2398,5395,1875,5084,1591,4846,1117,4495,839,4182,450,1748,185,511,8146,8647,839,4182,1748,1064,29,27,8647,9762,8023,8684,7375,7955,6635,7034,6185,6391,5717,5631,5333,5154,5011,3745,4610,2831,4127,2071,1064,1194,507,424,9762,8208,8684,7171,7955,6252,7034.0,+ 28.3%,6391.0,+ 31.25,5631.0,+ 27.4%,5154.0,+ 44.1%,3745.0,+ 27.6%,2831.0,+ 28.1%,2071.0,+ 22.0%,1194.0,+ 27.3%,424.0,409,7171,3180,6252,2631,5482,2217,4873,1879,4420,1672,3577,1112,2935,800,2210,521,1697,255,938,189,409,83,,,,,,
16,Volvo 60-Series,1259,1392,1501,1156,1058,1004,1400,993,302,1338,834,1087,1120,1392,907,1322,1199,1400,1351,1184,736,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BMW 7-Series,567,546,988,823,851,615,454,362,983,1107,603,788,559,819,705,935,597,550,704,822,742,634,1032,524,546,994,823,935,615,623,362,545,545,847,12918,9292,11605,8026,10372,6981,9239,6363,8038,6229,6808,6139,5605,5223,4197,4391,3185,3448,2313,1941,1463,1209,847,637,9292,9744,2313,1941,1209,1175,18,23,9744,10932,8648,9813,7944,9196,6264,8573,5784,6850,5255,5926,4711,5075,3163,4220,2556,3209,1882,2338,1175,1292,575,583,10932,11098,9813,9676,9196,8737,8573.0,+ 5.8%,6850.0,– 10.3%,5926.0,– 18.8%,5075.0,– 9.4%,4220.0,– 16.7%,3209.0,– 17.6%,2338.0,– 30.8%,1292.0,– 38.5%,583.0,977,9676,10080,8737,8853,8103,7750,7639,6881,7300,6105,5604,5450,5065,4908,3896,3522,3380,2762,2100,1735,977,626,,,,,,
18,Porsche 718,612,604,239,489,163,448,263,415,237,301,422,522,317,399,329,434,388,626,531,331,565,431,531,403,604,534,489,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BMW 8-Series,275,0,364,0,138,0,99,0,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Toyota 86 / FR-S,268,337,320,491,231,361,256,317,295,425,293,456,335,458,325,530,310,586,300,655,368,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Volvo 90-Series,333,763,346,1131,367,809,514,719,664,1148,599,1529,586,1178,808,1095,809,1203,899,1078,1077,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Porsche 911,655,940,803,883,990,775,1101,853,789,773,1056,976,789,691,733,532,885,1016,524,587,755,686,801,751,804,940,883,652,775,552,853,814,814,723,8901,9898,8190,9244,7491,8360,7047,7557,6582,6789,5833,5850,5026,5072,4174,4259,3182,3418,2159,2521,1221,1685,723,1052,9898,10433,2159,2521,1685,1648,29,17,10433,10442,9657,9614,8732,8246,7758,7498,7032,6889,6017,6120,5168,5326,4359,4508,3494,3613,2535,2722,1648,1732,792,877,10442,8528,9614,8009,8246,7244,7498.0,+ 12.7%,6889.0,+ 12.1%,6120.0,+ 10.9%,5326.0,+ 10.2%,4508.0,+ 13.5%,3613.0,+ 16.8%,2722.0,+ 35.8%,1732.0,+ 12.5%,877.0,681,8009,5593,7244,5198,6654,4757,6145,4253,5517,3783,4833,3303,3972,2707,3094,2095,2004,1450,1539,841,681,436,,,,,,
23,Mercedes-Benz A-Class,804,0,890,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Audi A3,681,1593,1182,1823,823,1510,664,1143,792,2024,813,1374,1121,1413,1759,1929,2078,2033,2011,2300,1962,2228,1700,2116,1593,2104,1823,2368,1510,1915,998,1419,1806,2148,31538,35984,28634,32732,26571,29704,24863,26972,22654,24260,19622,21072,16584,17905,13413,14423,10373,10930,7504,7743,4331,4662,2148,2383,35984,22250,7504,7743,4662,563,219,—,22250,857,19560,857,17049,857,14669,856,12329,849,9899,826,7735,826,5283,813,3022,798,863,743,563,623,—,231,857,7205,857,6808,857,6408,856.0,– 85.1%,849.0,– 82.8%,826.0,– 80.5%,826.0,– 76.9%,813.0,– 72.5%,798.0,– 65.7%,743.0,– 56.0%,623.0,– 40.9%,231.0,585,6808,5926,6408,5435,5750,5023,4944,4567,4229,3803,3578,3367,2958,2941,2329,2277,1687,1677,1054,1101,585,715,,,,,,
25,Audi A4,1860,3126,2652,3296,1436,2331,1691,2024,1881,3916,1635,2690,2267,2576,3185,2585,3768,2746,3433,2652,3893,3022,3472,3329,3126,3482,3296,4062,2331,2547,2279,1959,1959,1474,36987,31831,32667,28405,29253,25686,25077,22530,21620,20048,18499,17305,15756,14872,12820,11760,9958,8752,6828,6210,3425,3714,1474,1790,31831,38679,6828,6210,3714,4995,,,38679,42130,35080,38151,31976,34590,29304,31113,26310,27300,22492,24040,19409,20589,15653,16765,12203,13406,8687,9795,4995,5844,2498,2755,42130,38530,38151,34724,34590,31381,31113.0,+ 10.2%,27300.0,+ 8.4%,24040.0,+ 9.2%,20589.0,+ 10.9%,16765.0,+ 12.9%,13406.0,+ 13.7%,9795.0,+ 12.8%,5844.0,+ 8.3%,2755.0,2676,34724,31512,31381,29011,28230,26398,25195,23708,22008,21085,18559,18811,14852,15201,11794,12009,8686,8681,5395,5253,2676,2483,,,,,,
26,Audi A4,1860,3126,2652,3296,1436,2331,1691,2024,1881,3916,1635,2690,2267,2576,3185,2585,3768,2746,3433,2652,3893,3022,3472,3329,3126,3482,3296,4062,2331,2547,2279,1959,1959,1474,36987,31831,32667,28405,29253,25686,25077,22530,21620,20048,18499,17305,15756,14872,12820,11760,9958,8752,6828,6210,3425,3714,1474,1790,31831,38679,6828,6210,3714,4995,,,38679,42130,35080,38151,31976,34590,29304,31113,26310,27300,22492,24040,19409,20589,15653,16765,12203,13406,8687,9795,4995,5844,2498,2755,42130,38530,38151,34724,34590,31381,31113.0,+ 10.2%,27300.0,+ 8.4%,24040.0,+ 9.2%,20589.0,+ 10.9%,16765.0,+ 12.9%,13406.0,+ 13.7%,9795.0,+ 12.8%,5844.0,+ 8.3%,2456.0,2676,34724,31512,31381,29011,28230,26398,25195,23708,22008,21085,18559,18811,14852,15201,11794,12009,8686,8681,5395,5253,2676,2483,,,,,,
27,Audi A5,1685,2169,2224,2587,1603,1888,1651,1599,1746,2958,1221,2243,1761,2143,2539,2360,2732,2603,2381,2255,2985,2374,2364,2047,2169,1007,2587,674,1888,333,1599,304,304,515,8354,12934,7763,11934,7281,10657,6672,9812,5926,8867,5078,7824,4334,6719,3532,5618,2714,4277,1901,2977,1117,1674,515,843,12934,16620,1901,2977,1674,1955,79,108,16620,18664,15328,17280,14266,15975,13165,14488,11961,12977,10148,11220,8538,9503,6984,7682,5070,5810,3491,4001,1955,2373,925,1200,18664,17270,17280,15698,15975,14313,14488.0,+ 11.4%,12977.0,+ 13.7%,11220.0,+ 15.3%,9503.0,+ 18.8%,7682.0,+ 20.1%,5810.0,+ 13.2%,4001.0,+ 7.8%,2373.0,+ 18.8%,1200.0,878,15698,14112,14313,13118,13005,11724,11411,10455,9734,9133,8002,7820,6395,6459,5131,5021,3711,3584,1997,2196,,,,,,,,
