,Model,april_2019,april_2018_x,march_2019,march_2018_x,february_2019,february_2018_x,january_2019,january_2018_x,december_2018,december_2017,november_2018,november_2017,october_2018,october_2017,september_2018,september_2017,august_2018,august_2017,july_2018,july_2017,june_2018,june_2017,may_2018,may_2017,april_2018_y,april_2017,march_2018_y,march_2017,february_2018_y,february_2017,january_2018_y,january_2017,Jan. 2017 YTD,Jan. 2016 YTD_x,2016,2015_x,Nov. 2016 YTD,Nov. 2015 YTD,Oct. 2016 YTD,Oct. 2015 YTD,Sept. 2016 YTD,Sept. 2015 YTD,Aug. 2016 YTD,Aug. 2015 YTD,July 2016 YTD,July 2015 YTD,June 2016 YTD,June 2015 YTD,May 2016 YTD,May 2015 YTD,April 2016 YTD,April 2015 YTD,March 2016 YTD_x,March 2015 YTD_x,Feb. 2016 YTD,Feb. 2015 YTD_x,Jan. 2016 YTD_y,Jan. 2015 YTD_x,2015_y,2014,March 2016 YTD_y,March 2015 YTD_y,Feb. 2015 YTD_y,Feb. 2014 YTD,Jan. 2015 YTD_y,Jan. 2014 YTD,Dec. 2014 YTD,Dec. 2013 YTD,November 2014 YTD,November 2013 YTD_x,October 2014 YTD,October 2013 YTD_x,September 2014 YTD,September 2013 YTD,August 2014 YTD,August 2013 YTD_x,July 2014 YTD,July 2013 YTD_x,June 2014 YTD,June 2013 YTD_x,May 2014 YTD,May 2013 YTD_x,April 2014 YTD,April 2013 YTD_x,March 2014 YTD,March 2013 YTD_x,February 2014 YTD,February 2013 YTD,January 2014,January 2013_x,2013,2012,November 2013 YTD_y,November 2012 YTD_x,October 2013 YTD_y,October 2012 YTD_x,September 2013 YTD,% Change_x,August 2013 YTD_y,% Change_y,July 2013 YTD_y,% Change_x,June 2013 YTD_y,% Change_y,May 2013 YTD_y,% Change_x,April 2013 YTD_y,% Change_y,March 2013 YTD_y,% Change_x,2 Months Of 2013,2 Months % Change,January 2013_y,January 2012_x,November 2012 YTD_y,November 2011 YTD,October 2012 YTD_y,October 2011 YTD,September 2012 YTD,September 2011 YTD,August 2012 YTD,August 2011 YTD,July 2012 YTD,July 2011 YTD,June 2012 YTD,June 2011 YTD,May 2012,May 2011,April 2012 YTD,April 2011 YTD,March 2012 YTD,March 2011 YTD,February 2012 YTD,February 2011 YTD,January 2012_y,January 2011,December 2011,% Change_y,November 2011,% Change,October 2011,October 2010
339,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,25151.0,– 21.6%,18951.0,– 20.8%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
340,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,25151.0,– 21.6%,14432.0,– 31.6%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
341,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,25151.0,– 21.6%,14432.0,– 31.6%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
342,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,25151.0,– 21.6%,14432.0,– 31.6%,9105.0,– 27.5%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
343,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,25151.0,– 21.6%,14432.0,– 31.6%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
344,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,18951.0,– 20.8%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
345,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,18951.0,– 20.8%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
346,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,18951.0,– 20.8%,9105.0,– 27.5%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
347,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,18951.0,– 20.8%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
348,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,14432.0,– 31.6%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
349,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,14432.0,– 31.6%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
350,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,14432.0,– 31.6%,9105.0,– 27.5%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
351,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,39106.0,– 16.3%,24343.0,– 29.8%,19124.0,– 31.4%,14432.0,– 31.6%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
352,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,18951.0,– 20.8%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
353,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,18951.0,– 20.8%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
354,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,18951.0,– 20.8%,9105.0,– 27.5%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
355,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,18951.0,– 20.8%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
356,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,14432.0,– 31.6%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
357,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,14432.0,– 31.6%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
358,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,14432.0,– 31.6%,9105.0,– 27.5%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
359,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,25151.0,– 21.6%,14432.0,– 31.6%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
360,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,19124.0,– 31.4%,18951.0,– 20.8%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
361,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,19124.0,– 31.4%,18951.0,– 20.8%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
362,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,19124.0,– 31.4%,18951.0,– 20.8%,9105.0,– 27.5%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
363,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,19124.0,– 31.4%,18951.0,– 20.8%,9105.0,– 27.5%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
364,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,19124.0,– 31.4%,14432.0,– 31.6%,11897.0,– 16.1%,5896.0,6931,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
365,Subaru Impreza,4819,5833,5305,5973,4291,5130,4183,5351,5880,8037,5481,6684,5499,6733,6186,6324,8154,7462,7386,7777,7684,7858,10702,11347,8496,11077,,,7374,8324,7270,7247,7247,6718,88517,100519,80453,91371,75830,83966,70241,75613,62772,67025,54259,56584,45771,46341,37647,39109,29392,30571,21460,22547,13530,14712,6718,7527,100519,83488,21460,22547,14712,12145,603,615,83488,76825,74864,70196,69568,64922,64329,59999,59119,54210,51707,46191,44334,39106,36992,32199,28376,25151,20234,18951,12145,11897,5785,5896,76825,81799,70196,74294,64922,68389,59999.0,– 5.7%,41951.0,– 14.6%,46191.0,– 11.5%,29553.0,– 25.9%,32199.0,– 20.3%,19124.0,– 31.4%,14432.0,– 31.6%,11897.0,– 16.1%,4590.0,6221,74294,34475,68389,33063,63651,31070,57580,27730,52180,24370,46702,21110,40383,18347,32072,15737,23929,11370,14187,7279,6931,3346,,,,,,
